"DY1 1AE",10,394070,290410,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1AF",10,394484,290510,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1DA",10,394371,290235,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1DB",10,394291,290265,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1DS",10,394058,290320,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1DT",10,394013,290330,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1DU",10,394247,290313,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1DZ",10,394253,290312,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1ED",10,394350,290274,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1EF",10,394387,290252,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1EH",10,394300,290323,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1EP",10,394309,290333,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1EW",10,394341,290360,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1EX",10,394360,290312,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1EY",10,394370,290418,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1HA",10,394413,290353,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1HF",10,394373,290482,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1HG",10,394070,290410,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1HH",10,394441,290486,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1HL",10,394311,290485,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1HP",10,394284,290397,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1HR",10,394316,290428,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1HY",10,394253,290431,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1HZ",10,394284,290397,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1JA",10,394180,290370,"E92000001","E19000001","E18000005","","E08000027","E05001254"
"DY1 1JB",10,394095,290448,"E92000001","E19000001","E18000005","","E08000027","E05001254"
